갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2000, , ,2020,청운동,"10,000",청운현대,1,130,6,84.51, , ,56-45,11110,2
 ,2008, , ,2020,사직동,"65,000",광화문스페이스본(101동~105동),1,0,4,70.8, , ,9,11110,5
 ,2008, , ,2020,사직동,"75,000",광화문스페이스본(101동~105동),1,0,9,97.61, , ,9,11110,11
 ,2008, , ,2020,사직동,"75,000",광화문스페이스본(106동),1,0,9,153.42, , ,9-1,11110,6
 ,2008, , ,2020,사직동,"20,000",광화문스페이스본(101동~105동),1,220,14,108.55, , ,9,11110,8
 ,2008, , ,2020,사직동,"64,000",광화문스페이스본(101동~105동),1,0,16,94.28, , ,9,11110,13
 ,2008, , ,2020,사직동,"65,000",광화문스페이스본(101동~105동),1,80,24,121.37, , ,9,11110,11
 ,2008, , ,2020,사직동,"20,000",광화문스페이스본(101동~105동),1,250,31,108.55, , ,9,11110,5
 ,1983, , ,2020,당주동,"45,000",세종,1,0,28,105.06, , ,100,11110,7
 ,2003, , ,2020,내수동,"120,000",경희궁파크팰리스,1,0,4,147.62, , ,95,11110,2
 ,2004, , ,2020,내수동,"120,000",경희궁의아침3단지,1,0,8,174.55, , ,72,11110,14
 ,2004, , ,2020,내수동,"15,000",경희궁의아침2단지,1,400,22,174.55, , ,71,11110,15
 ,2004, , ,2020,내수동,"120,000",경희궁의아침4단지,1,0,22,150.77, , ,73,11110,14
 ,2003, , ,2020,익선동,"20,000",현대뜨레비앙,1,0,11,36.08, , ,55,11110,7
 ,2003, , ,2020,익선동,"15,000",현대뜨레비앙,1,30,15,48.54, , ,55,11110,2
 ,2003, , ,2020,익선동,"15,000",현대뜨레비앙,1,30,15,48.54, , ,55,11110,2
 ,2003, , ,2020,익선동,"25,000",현대뜨레비앙,1,0,28,46.64, , ,55,11110,2
 ,2003, , ,2020,익선동,"5,000",현대뜨레비앙,1,100,30,48.54, , ,55,11110,9
 ,1968, , ,2020,낙원동,"10,000",낙원,1,100,21,107.17, , ,288,11110,9
 ,2006, , ,2020,인의동,"45,000",효성쥬얼리시티,1,0,17,98.39, , ,48-2,11110,7
 ,2006, , ,2020,인의동,"15,000",효성쥬얼리시티,1,140,30,84.98, , ,48-2,11110,9
 ,2017, , ,2020,효제동,"1,000",포레스트힐시티,1,65,11,14.1832, , ,65-2,11110,12
 ,2004, , ,2020,이화동,"32,000",송림아마레스아파트,1,0,7,84.42, , ,9-1,11110,1
 ,2014, , ,2020,연건동,"1,000",이화에수풀,1,73,6,16.98, , ,195-10,11110,5
 ,2014, , ,2020,연건동,"1,000",이화에수풀,1,75,18,16.98, , ,195-10,11110,8
 ,2014, , ,2020,연건동,"1,000",이화에수풀,1,85,29,19.86, , ,195-10,11110,12
 ,1996, , ,2020,명륜2가,"25,000",아남2,1,70,9,59.4, , ,236,11110,8
 ,1996, , ,2020,명륜2가,"52,000",아남2,1,0,10,84.9, , ,236,11110,1
 ,1996, , ,2020,명륜2가,"40,000",아남2,1,50,15,84.9, , ,236,11110,4
 ,1995, , ,2020,명륜2가,"56,500",아남1,1,0,16,84.8, , ,4,11110,18
 ,1999, , ,2020,명륜2가,"10,000",아남3,1,75,17,47.43, , ,237,11110,7
 ,1996, , ,2020,명륜2가,"45,000",아남2,1,0,18,59.4, , ,236,11110,2
 ,1995, , ,2020,명륜2가,"55,000",아남1,1,0,20,84.9, , ,4,11110,3
 ,1999, , ,2020,명륜2가,"38,000",아남3,1,0,29,44.37, , ,237,11110,8
 ,1995, , ,2020,명륜2가,"27,000",아남1,1,100,29,84.9, , ,4,11110,16
 ,1999, , ,2020,명륜2가,"38,000",아남3,1,0,29,47.43, , ,237,11110,7
 ,2019, , ,2020,명륜2가,"1,000",어젤리아명륜1,1,73,31,39.832, , ,8-67,11110,5
 ,1999, , ,2020,명륜2가,"35,000",아남3,1,0,31,44.37, , ,237,11110,8
 ,1999, , ,2020,명륜2가,"35,000",아남3,1,0,31,44.37, , ,237,11110,8
 ,1999, , ,2020,창신동,"45,000",두산,1,0,3,84.9, , ,232,11110,1
 ,1999, , ,2020,창신동,"53,000",두산,1,0,4,84.9, , ,232,11110,9
 ,1993, , ,2020,창신동,"28,000",창신쌍용2,1,0,11,64.66, , ,703,11110,4
 ,1993, , ,2020,창신동,"32,000",창신쌍용2,1,0,11,79.87, , ,703,11110,8
 ,1992, , ,2020,창신동,"32,000",창신쌍용1,1,0,13,79.87, , ,702,11110,3
 ,1999, , ,2020,창신동,"51,500",두산,1,0,13,84.9, , ,232,11110,12
 ,1992, , ,2020,창신동,"32,000",창신쌍용1,1,0,13,79.87, , ,702,11110,3
 ,1993, , ,2020,창신동,"27,000",창신쌍용2,1,0,14,54.7, , ,703,11110,8
 ,1992, , ,2020,창신동,"5,000",창신쌍용1,1,120,15,106.62, , ,702,11110,5
 ,1992, , ,2020,창신동,"32,000",창신쌍용1,1,0,17,79.87, , ,702,11110,2
 ,1992, , ,2020,창신동,"32,000",창신쌍용1,1,0,18,79.87, , ,702,11110,3
 ,1992, , ,2020,창신동,"34,000",창신쌍용1,1,0,20,79.87, , ,702,11110,9
 ,2002, , ,2020,창신동,"10,000",MID그린(8동),1,45,20,59.01, , ,602-1,11110,3
 ,1993, , ,2020,창신동,"29,000",창신쌍용2,1,0,21,64.66, , ,703,11110,7
 ,1993, , ,2020,창신동,"4,000",창신쌍용2,1,80,22,64.66, , ,703,11110,11
 ,1992, , ,2020,창신동,"28,500",창신쌍용1,1,0,23,54.7, , ,702,11110,5
 ,1999, , ,2020,창신동,"6,000",두산,1,0,29,59.95, , ,232,11110,11
 ,1973, , ,2020,창신동,"30,000",동대문맨션,1,0,30,122.71, , ,578-5,11110,8
 ,1992, , ,2020,창신동,"29,000",창신쌍용1,1,0,31,54.7, , ,702,11110,8
 ,2008, , ,2020,숭인동,"48,000",종로센트레빌,1,0,2,84.92, , ,2-1,11110,10
 ,2000, , ,2020,숭인동,"19,000",숭인모범104동,1,0,2,59.74, , ,569-2,11110,5
 ,2014, , ,2020,숭인동,"12,000",숭인한양LEEPS,1,0,2,12.78, , ,1421-2,11110,3
 ,2013, , ,2020,숭인동,"5,000",종로아인스빌,1,26,3,12.15, , ,1392-1,11110,12
 ,2008, , ,2020,숭인동,"40,000",종로센트레빌,1,0,3,59.92, , ,2-1,11110,2
 ,2013, , ,2020,숭인동,"4,000",익성씨티하임,1,40,6,15.76, , ,1392,11110,10
 ,2014, , ,2020,숭인동,"12,500",숭인한양LEEPS,1,0,7,12.78, , ,1421-2,11110,5
 ,2013, , ,2020,숭인동,"3,000",종로동광모닝스카이,1,42,8,15.855, , ,1421-1,11110,9
 ,2013, , ,2020,숭인동,"6,000",익성씨티하임,1,20,10,15.42, , ,1392,11110,14
 ,2008, , ,2020,숭인동,"50,000",종로센트레빌,1,0,11,114.67, , ,2-1,11110,6
 ,2013, , ,2020,숭인동,"2,000",종로중흥S클래스,1,50,12,17.811, , ,202-3,11110,6
 ,2013, , ,2020,숭인동,"3,000",종로아인스빌,1,40,16,12.15, , ,1392-1,11110,10
 ,2012, , ,2020,숭인동,"1,000",삼전솔하임2차,1,55,16,15, , ,296-19,11110,10
 ,2013, , ,2020,숭인동,"10,500",종로유케이201,1,0,16,12.09, , ,201-11,11110,10
 ,2009, , ,2020,숭인동,"70,000",종로청계힐스테이트,1,0,17,114.7153, , ,766,11110,5
 ,2013, , ,2020,숭인동,"2,000",종로중흥S클래스,1,52,17,19.466, , ,202-3,11110,12
 ,2013, , ,2020,숭인동,"3,000",익성씨티하임,1,42,18,15.76, , ,1392,11110,14
 ,2009, , ,2020,숭인동,"49,300",종로청계힐스테이트,1,0,18,84.9478, , ,766,11110,11
 ,2013, , ,2020,숭인동,"14,000",종로중흥S클래스,1,0,20,17.811, , ,202-3,11110,10
 ,2013, , ,2020,숭인동,"1,000",종로중흥S클래스,1,55,21,17.811, , ,202-3,11110,8
 ,2008, , ,2020,숭인동,"40,000",종로센트레빌,1,0,23,59.92, , ,2-1,11110,5
 ,2013, , ,2020,숭인동,"1,000",종로유케이201,1,50,30,12.09, , ,201-11,11110,13
 ,2012, , ,2020,숭인동,"1,000",삼전솔하임2차,1,50,31,14.69, , ,296-19,11110,8
 ,2017, , ,2020,평동,"95,000",경희궁자이(3단지),1,0,1,84.836, , ,233,11110,14
 ,2017, , ,2020,평동,"89,900",경희궁자이(3단지),1,0,4,84.944, , ,233,11110,10
 ,2017, , ,2020,평동,"70,000",경희궁자이(3단지),1,0,7,59.755, , ,233,11110,4
 ,2017, , ,2020,평동,"20,000",경희궁자이(3단지),1,150,11,59.755, , ,233,11110,2
 ,2017, , ,2020,평동,"90,000",경희궁자이(3단지),1,0,11,84.836, , ,233,11110,4
 ,2017, , ,2020,평동,"10,000",경희궁자이(3단지),1,250,18,84.836, , ,233,11110,18
 ,2017, , ,2020,평동,"25,000",경희궁자이(3단지),1,195,28,84.614, , ,233,11110,3
 ,2017, , ,2020,평동,"85,000",경희궁자이(3단지),1,0,29,84.614, , ,233,11110,7
 ,2017, , ,2020,홍파동,"40,000",경희궁자이(2단지),1,165,2,84.99, , ,199,11110,9
 ,2017, , ,2020,홍파동,"10,000",경희궁자이(2단지),1,250,4,84.614, , ,199,11110,12
 ,2017, , ,2020,홍파동,"90,000",경희궁자이(2단지),1,0,7,84.836, , ,199,11110,13
 ,2017, , ,2020,홍파동,"90,000",경희궁자이(2단지),1,0,10,84.836, , ,199,11110,14
 ,2017, , ,2020,홍파동,"40,000",경희궁자이(2단지),1,190,11,101.991, , ,199,11110,7
 ,2017, , ,2020,홍파동,"92,000",경희궁자이(2단지),1,0,11,84.836, , ,199,11110,20
 ,2017, , ,2020,홍파동,"95,000",경희궁자이(2단지),1,0,12,84.836, , ,199,11110,11
 ,2017, , ,2020,홍파동,"90,000",경희궁자이(2단지),1,0,14,84.836, , ,199,11110,8
 ,2017, , ,2020,홍파동,"90,000",경희궁자이(2단지),1,0,15,84.907, , ,199,11110,21
 ,2017, , ,2020,홍파동,"10,000",경희궁자이(2단지),1,270,18,101.991, , ,199,11110,9
 ,2017, , ,2020,홍파동,"80,000",경희궁자이(2단지),1,0,18,84.836, , ,199,11110,9
 ,2017, , ,2020,홍파동,"50,000",경희궁자이(2단지),1,110,21,77.974, , ,199,11110,3
 ,2017, , ,2020,홍파동,"60,000",경희궁자이(2단지),1,100,27,84.836, , ,199,11110,20
