regal_code,year_month,time,status
11110,202001,2023-05-07 13:26:50,success
11110,202002,2023-05-07 13:26:51,success
11110,202003,2023-05-07 13:26:53,success
11110,202004,2023-05-07 13:26:54,success
11110,202005,2023-05-07 13:26:55,success
11110,202006,2023-05-07 13:26:56,success
11110,202007,2023-05-07 13:26:58,success
11110,202008,2023-05-07 13:26:59,success
11110,202009,2023-05-07 13:27:00,success
11110,202010,2023-05-07 13:27:01,success
11110,202011,2023-05-07 13:27:03,success
11110,202012,2023-05-07 13:27:04,success
11110,202101,2023-05-07 13:27:05,success
11110,202102,2023-05-07 13:27:06,success
11110,202103,2023-05-07 13:27:07,success
11110,202104,2023-05-07 13:27:09,success
11110,202105,2023-05-07 13:27:10,success
11110,202106,2023-05-07 13:27:11,success
11110,202107,2023-05-07 13:27:13,success
11110,202108,2023-05-07 13:27:14,success
11110,202109,2023-05-07 13:27:15,success
11110,202110,2023-05-07 13:27:16,success
11110,202111,2023-05-07 13:27:18,success
11110,202112,2023-05-07 13:27:19,success
11110,202201,2023-05-07 13:27:20,success
11110,202202,2023-05-07 13:27:22,success
11110,202203,2023-05-07 13:27:23,success
11110,202204,2023-05-07 13:27:24,success
11110,202205,2023-05-07 13:27:25,success
11110,202206,2023-05-07 13:27:27,success
11110,202207,2023-05-07 13:27:28,success
11110,202208,2023-05-07 13:27:29,success
11110,202209,2023-05-07 13:27:30,success
11110,202210,2023-05-07 13:27:32,success
11110,202211,2023-05-07 13:27:33,success
11110,202212,2023-05-07 13:27:34,success
11140,202001,2023-05-07 13:27:35,success
11140,202002,2023-05-07 13:27:37,success
11140,202003,2023-05-07 13:27:38,success
11140,202004,2023-05-07 13:27:39,success
11140,202005,2023-05-07 13:27:40,success
11140,202006,2023-05-07 13:27:41,success
11140,202007,2023-05-07 13:27:43,success
11140,202008,2023-05-07 13:27:44,success
11140,202009,2023-05-07 13:27:45,success
11140,202010,2023-05-07 13:27:46,success
11140,202011,2023-05-07 13:27:48,success
11140,202012,2023-05-07 13:27:49,success
11140,202101,2023-05-07 13:27:50,success
11140,202102,2023-05-07 13:27:51,success
11140,202103,2023-05-07 13:27:52,success
11140,202104,2023-05-07 13:27:54,success
11140,202105,2023-05-07 13:27:55,success
11140,202106,2023-05-07 13:27:56,success
11140,202107,2023-05-07 13:27:57,success
11140,202108,2023-05-07 13:27:59,success
11140,202109,2023-05-07 13:28:00,success
11140,202110,2023-05-07 13:28:01,success
11140,202111,2023-05-07 13:28:02,success
11140,202112,2023-05-07 13:28:04,success
11140,202201,2023-05-07 13:28:05,success
11140,202202,2023-05-07 13:28:06,success
11140,202203,2023-05-07 13:28:07,success
11140,202204,2023-05-07 13:28:08,success
11140,202205,2023-05-07 13:28:10,success
11140,202206,2023-05-07 13:28:11,success
11140,202207,2023-05-07 13:28:12,success
11140,202208,2023-05-07 13:28:13,success
11140,202209,2023-05-07 13:28:14,success
11140,202210,2023-05-07 13:28:16,success
11140,202211,2023-05-07 13:28:17,success
11140,202212,2023-05-07 13:28:18,success
11170,202001,2023-05-07 13:28:19,success
11170,202002,2023-05-07 13:28:20,success
11170,202003,2023-05-07 13:28:22,success
11170,202004,2023-05-07 13:28:23,success
11170,202005,2023-05-07 13:28:25,success
11170,202006,2023-05-07 13:28:26,success
11170,202007,2023-05-07 13:28:27,success
11170,202008,2023-05-07 13:28:28,success
11170,202009,2023-05-07 13:28:29,success
11170,202010,2023-05-07 13:28:31,success
11170,202011,2023-05-07 13:28:32,success
11170,202012,2023-05-07 13:28:33,success
11170,202101,2023-05-07 13:28:34,success
11170,202102,2023-05-07 13:28:36,success
11170,202103,2023-05-07 13:28:37,success
11170,202104,2023-05-07 13:28:38,success
11170,202105,2023-05-07 13:28:39,success
11170,202106,2023-05-07 13:28:40,success
11170,202107,2023-05-07 13:28:42,success
11170,202108,2023-05-07 13:28:43,success
11170,202109,2023-05-07 13:28:44,success
11170,202110,2023-05-07 13:28:45,success
11170,202111,2023-05-07 13:28:47,success
11170,202112,2023-05-07 13:28:48,success
11170,202201,2023-05-07 13:28:49,success
11170,202202,2023-05-07 13:28:50,success
11170,202203,2023-05-07 13:28:52,success
11170,202204,2023-05-07 13:28:53,success
11170,202205,2023-05-07 13:28:54,success
11170,202206,2023-05-07 13:28:56,success
11170,202207,2023-05-07 13:28:57,success
11170,202208,2023-05-07 13:28:58,success
11170,202209,2023-05-07 13:28:59,success
11170,202210,2023-05-07 13:29:01,success
11170,202211,2023-05-07 13:29:02,success
11170,202212,2023-05-07 13:29:03,success
11200,202001,2023-05-07 13:29:04,success
11200,202002,2023-05-07 13:29:06,success
11200,202003,2023-05-07 13:29:07,success
11200,202004,2023-05-07 13:29:08,success
11200,202005,2023-05-07 13:29:09,success
11200,202006,2023-05-07 13:29:10,success
11200,202007,2023-05-07 13:29:12,success
11200,202008,2023-05-07 13:29:13,success
11200,202009,2023-05-07 13:29:14,success
11200,202010,2023-05-07 13:29:15,success
11200,202011,2023-05-07 13:29:17,success
11200,202012,2023-05-07 13:29:18,success
11200,202101,2023-05-07 13:29:19,success
11200,202102,2023-05-07 13:29:20,success
11200,202103,2023-05-07 13:29:21,success
11200,202104,2023-05-07 13:29:23,success
11200,202105,2023-05-07 13:29:24,success
11200,202106,2023-05-07 13:29:25,success
11200,202107,2023-05-07 13:29:26,success
11200,202108,2023-05-07 13:29:27,success
11200,202109,2023-05-07 13:29:29,success
11200,202110,2023-05-07 13:29:30,success
11200,202111,2023-05-07 13:29:31,success
11200,202112,2023-05-07 13:29:33,success
11200,202201,2023-05-07 13:29:34,success
11200,202202,2023-05-07 13:29:35,success
11200,202203,2023-05-07 13:29:36,success
11200,202204,2023-05-07 13:29:37,success
11200,202205,2023-05-07 13:29:39,success
11200,202206,2023-05-07 13:29:40,success
11200,202207,2023-05-07 13:29:41,success
11200,202208,2023-05-07 13:29:42,success
11200,202209,2023-05-07 13:29:43,success
11200,202210,2023-05-07 13:29:45,success
11200,202211,2023-05-07 13:29:46,success
11200,202212,2023-05-07 13:29:47,success
11215,202001,2023-05-07 13:29:48,success
11215,202002,2023-05-07 13:29:50,success
11215,202003,2023-05-07 13:29:51,success
11215,202004,2023-05-07 13:29:52,success
11215,202005,2023-05-07 13:29:53,success
11215,202006,2023-05-07 13:29:55,success
11215,202007,2023-05-07 13:29:56,success
