갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1993, , ,2020,신도림동,"44,000",우성3,12,0,1,84.75, , ,637,11530,11
 ,2011, , ,2020,신도림동,"115,000",디큐브시티,12,0,2,125.36, , ,692,11530,18
 ,1989, , ,2020,신도림동,"25,200",미성,12,0,2,52.45, , ,290,11530,12
 ,2015, , ,2020,신도림동,"3,000",신도림크라운빌,12,55,3,20.41, , ,694,11530,14
 ,2011, , ,2020,신도림동,"58,000",디큐브시티,12,0,4,59.88, , ,692,11530,8
 ,1989, , ,2020,신도림동,"31,900",미성,12,0,5,52.45, , ,290,11530,6
 ,2003, , ,2020,신도림동,"50,000",대림e-편한세상5,12,45,5,84.789, , ,647,11530,1
 ,2001, , ,2020,신도림동,"45,000",대림2,12,0,5,59.82, , ,642,11530,2
 ,2018, , ,2020,신도림동,"6,000",신도림 아르디에,12,45,6,18.8, , ,695,11530,2
 ,1989, , ,2020,신도림동,"29,900",미성,12,0,6,52.45, , ,290,11530,12
 ,2015, , ,2020,신도림동,"1,000",신도림크라운빌,12,65,7,20.81, , ,694,11530,13
 ,2008, , ,2020,신도림동,"110,000",신도림2차푸르지오,12,0,7,122.02, , ,338,11530,8
 ,2007, , ,2020,신도림동,"49,350",신도림3차푸르지오,12,0,8,82.8, , ,435-10,11530,4
 ,2015, , ,2020,신도림동,"2,000",신도림크라운빌,12,60,8,20.47, , ,694,11530,13
 ,1999, , ,2020,신도림동,"52,000",대림1,12,0,8,59.9, , ,642,11530,16
 ,2015, , ,2020,신도림동,"3,000",신도림크라운빌,12,55,8,20.47, , ,694,11530,13
 ,2000, , ,2020,신도림동,"31,500",동아3,12,84,9,84.99, , ,645,11530,3
 ,2018, , ,2020,신도림동,"16,275",신도림 아르디에,12,0,9,18.95, , ,695,11530,2
 ,1999, , ,2020,신도림동,"44,100",대림1,12,0,10,84.95, , ,642,11530,21
 ,2015, , ,2020,신도림동,"31,000",신도림아이파크,12,39,10,57.2934, , ,693,11530,9
 ,2000, , ,2020,신도림동,"30,000",동아3,12,93,10,84.99, , ,645,11530,15
 ,2001, , ,2020,신도림동,"70,000",대림2,12,0,10,134.99, , ,642,11530,4
 ,1987, , ,2020,신도림동,"28,300",미성,12,0,10,66.03, , ,290,11530,13
 ,1997, , ,2020,신도림동,"50,000",신성은하수,12,0,10,84.42, , ,640,11530,10
 ,2001, , ,2020,신도림동,"45,000",대림2,12,0,11,59.88, , ,642,11530,13
 ,2006, , ,2020,신도림동,"52,500",SKVIEW,12,0,11,84.98, , ,432-1,11530,4
 ,2018, , ,2020,신도림동,"2,000",신도림 아르디에,12,60,11,18.95, , ,695,11530,2
 ,1999, , ,2020,신도림동,"48,000",대림1,12,0,11,59.9, , ,642,11530,27
 ,1999, , ,2020,신도림동,"65,000",동아1,12,0,12,84.908, , ,643,11530,17
 ,1999, , ,2020,신도림동,"70,000",동아1,12,0,12,84.908, , ,643,11530,24
 ,2001, , ,2020,신도림동,"60,000",대림2,12,0,12,84.95, , ,642,11530,1
 ,2018, , ,2020,신도림동,"19,000",신도림 아르디에,12,0,12,18.95, , ,695,11530,7
 ,2018, , ,2020,신도림동,"15,225",신도림 아르디에,12,0,12,18.88, , ,695,11530,4
 ,2011, , ,2020,신도림동,"58,000",디큐브시티,12,150,12,128.41, , ,692,11530,11
 ,2011, , ,2020,신도림동,"82,000",디큐브시티,12,25,12,128.41, , ,692,11530,19
 ,2008, , ,2020,신도림동,"81,900",신도림2차푸르지오,12,0,12,121.24, , ,338,11530,11
 ,2006, , ,2020,신도림동,"55,650",SKVIEW,12,0,12,84.98, , ,432-1,11530,22
 ,1989, , ,2020,신도림동,"18,500",미성,12,0,12,37.91, , ,290,11530,2
 ,1989, , ,2020,신도림동,"19,000",미성,12,0,12,37.91, , ,290,11530,3
 ,1987, , ,2020,신도림동,"27,000",미성,12,0,12,66.03, , ,290,11530,11
 ,2000, , ,2020,신도림동,"60,000",동아3,12,0,12,60, , ,645,11530,20
 ,1999, , ,2020,신도림동,"57,500",동아1,12,48,14,169.199, , ,643,11530,23
 ,2000, , ,2020,신도림동,"35,000",동아2,12,40,14,84.908, , ,644,11530,7
 ,1989, , ,2020,신도림동,"17,000",미성,12,0,14,37.91, , ,290,11530,6
 ,2000, , ,2020,신도림동,"65,000",동아2,12,0,14,84.908, , ,644,11530,17
 ,2001, , ,2020,신도림동,"51,450",대림2,12,0,15,101.48, , ,642,11530,19
 ,2015, , ,2020,신도림동,"31,000",신도림아이파크,12,41,15,57.5728, , ,693,11530,14
 ,1999, , ,2020,신도림동,"33,600",대림1,12,0,15,59.88, , ,642,11530,27
 ,2001, , ,2020,신도림동,"51,450",대림2,12,0,15,101.48, , ,642,11530,19
 ,1999, , ,2020,신도림동,"50,000",대림1,12,0,16,59.9, , ,642,11530,4
 ,1999, , ,2020,신도림동,"50,000",대림1,12,0,16,59.88, , ,642,11530,7
